---------------------------------
| Contestant  #  | Overall Time |
| Contestant 450 | 71.39478057  |
| Contestant 974 | 77.87246856  |
| Contestant 123 | 79.99398639  |
| Contestant 145 | 80.11007198  |
| Contestant 217 | 81.25627868  |
| Contestant 395 | 89.83285102  |
| Contestant 045 | 96.22431706  |
| Contestant 934 | 96.91289523  |
| Contestant 597 | 100.73132626 |
| Contestant 503 | 102.45503924 |
| Contestant 808 | 102.88847073 |
| Contestant 022 | 104.22654740 |
| Contestant 405 | 104.38272382 |
| Contestant 816 | 104.53351368 |
| Contestant 486 | 105.42744339 |
| Contestant 144 | 107.17352769 |
| Contestant 733 | 108.34805710 |
| Contestant 488 | 108.81389203 |
| Contestant 327 | 110.57180314 |
| Contestant 786 | 112.07661186 |
| Contestant 124 | 112.91469689 |
| Contestant 003 | 112.92559699 |
| Contestant 270 | 115.18444214 |
| Contestant 009 | 116.24345241 |
| Contestant 951 | 116.33344175 |
| Contestant 855 | 116.69943911 |
| Contestant 241 | 117.52187873 |
| Contestant 614 | 118.59042009 |
| Contestant 206 | 118.78061163 |
| Contestant 551 | 119.80621481 |
| Contestant 947 | 120.17470174 |
| Contestant 106 | 120.65945967 |
| Contestant 228 | 121.16511953 |
| Contestant 717 | 121.67750052 |
| Contestant 331 | 122.29904782 |
| Contestant 777 | 122.48571417 |
| Contestant 131 | 122.62124015 |
| Contestant 520 | 124.03054954 |
| Contestant 374 | 124.68494775 |
| Contestant 882 | 125.14629087 |
| Contestant 155 | 125.21107437 |
| Contestant 536 | 126.03556982 |
| Contestant 919 | 126.25296495 |
| Contestant 483 | 126.53584050 |
| Contestant 250 | 126.59846611 |
| Contestant 707 | 126.77399880 |
| Contestant 216 | 126.89830501 |
| Contestant 234 | 127.29979461 |
| Contestant 178 | 127.73259700 |
| Contestant 543 | 128.16411368 |
| Contestant 820 | 128.90177073 |
| Contestant 875 | 129.70980542 |
| Contestant 053 | 130.07216796 |
| Contestant 948 | 130.44066962 |
| Contestant 127 | 130.97250548 |
| Contestant 157 | 133.14739202 |
| Contestant 378 | 134.01474592 |
| Contestant 107 | 134.24708835 |
| Contestant 275 | 134.38096051 |
| Contestant 479 | 135.01278677 |
| Contestant 096 | 135.32911595 |
| Contestant 322 | 135.87844798 |
| Contestant 785 | 136.91500960 |
| Contestant 354 | 137.48604716 |
| Contestant 501 | 137.66975215 |
| Contestant 909 | 138.38643669 |
| Contestant 358 | 138.78372801 |
| Contestant 104 | 139.10829436 |
| Contestant 082 | 139.40127236 |
| Contestant 681 | 139.57533997 |
| Contestant 522 | 140.63666641 |
| Contestant 366 | 140.72319888 |
| Contestant 323 | 140.79063275 |
| Contestant 468 | 142.30970813 |
| Contestant 375 | 143.76754595 |
| Contestant 047 | 144.63985150 |
| Contestant 130 | 144.73011356 |
| Contestant 731 | 144.74530081 |
| Contestant 253 | 144.89921092 |
| Contestant 490 | 145.34029762 |
| Contestant 813 | 145.89117825 |
| Contestant 243 | 145.89933568 |
| Contestant 180 | 145.92083653 |
| Contestant 652 | 146.07457169 |
| Contestant 716 | 146.08212035 |
| Contestant 678 | 146.19060445 |
| Contestant 316 | 147.91889868 |
| Contestant 961 | 148.35085793 |
| Contestant 442 | 148.47561324 |
| Contestant 294 | 148.73261837 |
| Contestant 878 | 149.18758643 |
| Contestant 915 | 149.49779123 |
| Contestant 944 | 149.73111891 |
| Contestant 071 | 149.95496497 |
| Contestant 836 | 150.13508634 |
| Contestant 007 | 150.30499530 |
| Contestant 319 | 150.63156841 |
| Contestant 750 | 151.20599653 |
| Contestant 602 | 151.33632344 |
| Contestant 549 | 151.34604395 |
| Contestant 799 | 152.33202763 |
| Contestant 176 | 152.34222818 |
| Contestant 923 | 152.43481257 |
| Contestant 502 | 153.09715498 |
| Contestant 233 | 153.26486876 |
| Contestant 812 | 153.37599715 |
| Contestant 640 | 153.42367740 |
| Contestant 753 | 153.45717906 |
| Contestant 842 | 154.26436731 |
| Contestant 432 | 154.42374805 |
| Contestant 904 | 154.81108927 |
| Contestant 101 | 154.87528589 |
| Contestant 811 | 154.93476469 |
| Contestant 899 | 155.20642105 |
| Contestant 128 | 155.50992251 |
| Contestant 440 | 155.71917711 |
| Contestant 794 | 155.79879512 |
| Contestant 083 | 155.98819618 |
| Contestant 076 | 156.55375136 |
| Contestant 975 | 157.00026822 |
| Contestant 666 | 157.43198536 |
| Contestant 573 | 157.66340956 |
| Contestant 620 | 157.84902100 |
| Contestant 235 | 157.98850452 |
| Contestant 409 | 158.05094362 |
| Contestant 086 | 158.11681872 |
| Contestant 169 | 158.12802379 |
| Contestant 306 | 158.54962396 |
| Contestant 317 | 159.08050125 |
| Contestant 094 | 159.08667336 |
| Contestant 284 | 159.40384229 |
| Contestant 814 | 159.47961707 |
| Contestant 280 | 159.53333383 |
| Contestant 988 | 159.91130318 |
| Contestant 469 | 160.08300592 |
| Contestant 647 | 160.33003926 |
| Contestant 125 | 160.48911292 |
| Contestant 921 | 160.71054793 |
| Contestant 310 | 161.35574069 |
| Contestant 748 | 161.36967347 |
| Contestant 147 | 162.48522435 |
| Contestant 583 | 162.51063391 |
| Contestant 790 | 162.58538807 |
| Contestant 303 | 162.74400647 |
| Contestant 033 | 162.77569227 |
| Contestant 683 | 163.08580740 |
| Contestant 817 | 163.31575434 |
| Contestant 292 | 163.59905464 |
| Contestant 158 | 163.94664718 |
| Contestant 545 | 163.97139439 |
| Contestant 559 | 164.18505627 |
| Contestant 773 | 164.21681497 |
| Contestant 190 | 164.82287324 |
| Contestant 663 | 165.01612660 |
| Contestant 002 | 165.20193138 |
| Contestant 718 | 165.39480483 |
| Contestant 173 | 165.74696968 |
| Contestant 929 | 166.09598392 |
| Contestant 638 | 166.10545526 |
| Contestant 245 | 166.31806956 |
| Contestant 762 | 166.55618629 |
| Contestant 754 | 166.75245012 |
| Contestant 377 | 166.83500475 |
| Contestant 864 | 167.07862206 |
| Contestant 755 | 167.21768625 |
| Contestant 617 | 167.28485251 |
| Contestant 821 | 167.32125792 |
| Contestant 767 | 167.69785742 |
| Contestant 600 | 167.72776283 |
| Contestant 749 | 167.74735694 |
| Contestant 070 | 167.84369212 |
| Contestant 735 | 167.96485532 |
| Contestant 475 | 168.11744869 |
| Contestant 930 | 168.24883414 |
| Contestant 207 | 168.41004814 |
| Contestant 121 | 168.62722108 |
| Contestant 751 | 168.84109928 |
| Contestant 205 | 168.99283532 |
| Contestant 336 | 169.04560210 |
| Contestant 509 | 169.42179577 |
| Contestant 883 | 169.64978166 |
| Contestant 712 | 169.66006610 |
| Contestant 029 | 169.89072974 |
| Contestant 932 | 169.90320590 |
| Contestant 996 | 169.93254291 |
| Contestant 766 | 169.97631975 |
| Contestant 578 | 170.08673638 |
| Contestant 229 | 170.34260285 |
| Contestant 222 | 170.76639726 |
| Contestant 092 | 170.78253088 |
| Contestant 555 | 170.80627398 |
| Contestant 758 | 170.95406791 |
| Contestant 619 | 171.17864463 |
| Contestant 203 | 171.57927111 |
| Contestant 623 | 171.63607459 |
| Contestant 046 | 171.75206614 |
| Contestant 594 | 171.79294329 |
| Contestant 068 | 172.60285066 |
| Contestant 480 | 172.80779793 |
| Contestant 759 | 173.35297296 |
| Contestant 704 | 173.39189941 |
| Contestant 624 | 173.43191232 |
| Contestant 648 | 173.58188444 |
| Contestant 368 | 173.61662261 |
| Contestant 344 | 173.63313526 |
| Contestant 579 | 173.85076094 |
| Contestant 775 | 174.13728829 |
| Contestant 802 | 174.38366144 |
| Contestant 116 | 174.40671749 |
| Contestant 435 | 174.44172228 |
| Contestant 889 | 174.54103701 |
| Contestant 415 | 174.79107557 |
| Contestant 626 | 175.40017106 |
| Contestant 464 | 175.85899448 |
| Contestant 862 | 176.13045984 |
| Contestant 396 | 176.21896339 |
